구간,npy파일명,원본wav경로,출력파일명,Jazz확률,매칭방법,세그먼트길이(초),목표데시벨(dB)
0.0-0.1,Just Because.npy,/home/kim22/nas03home/pianowav/jazz/Just Because.wav,0.0-0.1_Just Because.wav,0.075875,정확한 매칭,24.00,-27.78
0.0-0.1,MIDI-Unprocessed_XP_16_R2_2004_01_ORIG_MID--AUDIO_16_R2_2004_03_Track03_wav.npy,/home/kim22/nas03home/pianowav/classic/MIDI-Unprocessed_XP_16_R2_2004_01_ORIG_MID--AUDIO_16_R2_2004_03_Track03_wav.wav,0.0-0.1_MIDI-Unprocessed_XP_16_R2_2004_01_ORIG_MID--AUDIO_16_R2_2004_03_Track03_wav.wav,0.003694,정확한 매칭,24.00,-27.78
0.0-0.1,MIDI-Unprocessed_03_R1_2008_01-04_ORIG_MID--AUDIO_03_R1_2008_wav--4.npy,/home/kim22/nas03home/pianowav/classic/MIDI-Unprocessed_03_R1_2008_01-04_ORIG_MID--AUDIO_03_R1_2008_wav--4.wav,0.0-0.1_MIDI-Unprocessed_03_R1_2008_01-04_ORIG_MID--AUDIO_03_R1_2008_wav--4.wav,0.014406,정확한 매칭,24.00,-27.78
0.0-0.1,Adagio in G minor.npy,/home/kim22/nas03home/pianowav/classic/Adagio in G minor.wav,0.0-0.1_Adagio in G minor.wav,0.084675,정확한 매칭,24.00,-27.78
0.0-0.1,Suleika 2.npy,/home/kim22/nas03home/pianowav/classic/Suleika 2.wav,0.0-0.1_Suleika 2.wav,0.005992,정확한 매칭,24.00,-27.78
0.0-0.1,Going To A Town.npy,/home/kim22/nas03home/pianowav/rock/Going To A Town.wav,0.0-0.1_Going To A Town.wav,0.054474,정확한 매칭,24.00,-27.78
0.0-0.1,Con Te Partirò.npy,/home/kim22/nas03home/pianowav/rock/Con Te Partirò.wav,0.0-0.1_Con Te Partirò.wav,0.082606,정확한 매칭,24.00,-27.78
0.0-0.1,Here Comes My Baby.npy,/home/kim22/nas03home/pianowav/rock/Here Comes My Baby.wav,0.0-0.1_Here Comes My Baby.wav,0.035355,정확한 매칭,24.00,-27.78
0.0-0.1,210.npy,/home/kim22/nas03home/pianowav/pop/210.wav,0.0-0.1_210.wav,0.040529,정확한 매칭,24.00,-27.78
0.0-0.1,The Look.npy,/home/kim22/nas03home/pianowav/soul/The Roof.wav,0.0-0.1_The Roof.wav,0.095113,유사한 파일명 매칭 (유사도: 0.75),24.00,-27.78
0.0-0.1,Something About The Way You Look Tonight.npy,/home/kim22/nas03home/pianowav/ambient/Something About The Way You Look Tonight.wav,0.0-0.1_Something About The Way You Look Tonight.wav,0.050910,정확한 매칭,24.00,-27.78
0.0-0.1,When A Man Loves A Woman (LP Version).npy,/home/kim22/nas03home/pianowav/jazz/When A Man Loves A Woman (LP Version).wav,0.0-0.1_When A Man Loves A Woman (LP Version).wav,0.054145,정확한 매칭,24.00,-27.78
0.1-0.2,Georgia on My Mind.npy,/home/kim22/nas03home/pianowav/jazz/Georgia on My Mind.wav,0.1-0.2_Georgia on My Mind.wav,0.109241,정확한 매칭,24.00,-27.78
